conv_layers,kernel_size,use_batchnorm,fc_neurons,run,accuracy,PPV,NPV,sensitivity,specificity,F-score
"[2, 8]",4,False,8,2,0.8535,0.8625641025641025,0.8448780487804878,0.841,0.866,0.8516455696202532
"[2, 8]",4,False,8,3,0.5,,0.5,0.0,1.0,
"[2, 8]",4,False,32,0,0.8285,0.8113744075829384,0.8476190476190476,0.856,0.801,0.8330900243309003
"[2, 8]",4,False,32,1,0.7915,0.7941473259334006,0.7888999008919723,0.787,0.796,0.790557508789553
"[2, 8]",4,False,32,2,0.858,0.8601609657947686,0.8558648111332008,0.855,0.861,0.8575727181544635
"[2, 8]",4,False,32,3,0.8465,0.8561151079136691,0.8373904576436222,0.833,0.86,0.8443993917891535
"[2, 8]",8,True,2,0,0.886,0.8704414587332053,0.9029227557411273,0.907,0.865,0.8883447600391772
"[2, 8]",8,True,2,1,0.5,,0.5,0.0,1.0,
"[2, 8]",8,True,2,2,0.5,,0.5,0.0,1.0,
"[2, 8]",8,True,2,3,0.966,0.9678714859437751,0.9641434262948207,0.964,0.968,0.965931863727455
"[2, 8]",8,True,8,0,0.8835,0.8726919339164237,0.8949536560247168,0.898,0.869,0.8851651059635289
"[2, 8]",8,True,8,1,0.9755,0.9798183652875883,0.9712586719524281,0.971,0.98,0.9753892516323456
"[2, 8]",8,True,8,2,0.884,0.8728155339805825,0.8958762886597939,0.899,0.869,0.8857142857142858
"[2, 8]",8,True,8,3,0.9695,0.96996996996997,0.9690309690309691,0.969,0.97,0.9694847423711856
"[2, 8]",8,True,32,0,0.8805,0.86977648202138,0.8918640576725025,0.895,0.866,0.8822079842286841
"[2, 8]",8,True,32,1,0.9755,0.9769307923771314,0.9740777666999003,0.974,0.977,0.9754631947921881
"[2, 8]",8,True,32,2,0.8595,0.8591408591408591,0.8598598598598599,0.86,0.859,0.8595702148925537
"[2, 8]",8,True,32,3,0.943,0.9386138613861386,0.9474747474747475,0.948,0.938,0.9432835820895523
"[2, 8]",8,False,2,0,0.849,0.8476095617529881,0.8504016064257028,0.851,0.847,0.8493013972055887
"[2, 8]",8,False,2,1,0.5,,0.5,0.0,1.0,
"[2, 8]",8,False,2,2,0.5,,0.5,0.0,1.0,
"[2, 8]",8,False,2,3,0.718,0.7166998011928429,0.7193158953722334,0.721,0.715,0.7188434695912262
"[2, 8]",8,False,8,0,0.8395,0.8439716312056738,0.8351431391905232,0.833,0.846,0.8384499245093104
"[2, 8]",8,False,8,1,0.843,0.8521560574948666,0.834307992202729,0.83,0.856,0.8409321175278622
"[2, 8]",8,False,8,2,0.8565,0.8648925281473899,0.8484848484848485,0.845,0.868,0.8548305513404147
"[2, 8]",8,False,8,3,0.758,0.7471264367816092,0.7698744769874477,0.78,0.736,0.7632093933463796
"[2, 8]",8,False,32,0,0.8355,0.8426966292134831,0.8285994123408423,0.825,0.846,0.833754421424962
"[2, 8]",8,False,32,1,0.796,0.794234592445328,0.7977867203219315,0.799,0.793,0.7966101694915255
"[2, 8]",8,False,32,2,0.7785,0.7717073170731708,0.7856410256410257,0.791,0.766,0.7812345679012346
"[2, 8]",8,False,32,3,0.8405,0.8456852791878172,0.8354679802955665,0.833,0.848,0.8392947103274558
"[8, 2]",2,True,2,0,0.971,0.9806122448979592,0.961764705882353,0.961,0.981,0.9707070707070706
"[8, 2]",2,True,2,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 2]",2,True,2,2,0.872,0.8004846526655897,0.9881889763779528,0.991,0.753,0.8856121537086684
"[8, 2]",2,True,2,3,0.5,,0.5,0.0,1.0,
"[8, 2]",2,True,8,0,0.965,0.9706477732793523,0.9594861660079052,0.959,0.971,0.9647887323943661
"[8, 2]",2,True,8,1,0.977,0.9808467741935484,0.9732142857142857,0.973,0.981,0.9769076305220884
"[8, 2]",2,True,8,2,0.98,0.9858299595141701,0.974308300395257,0.974,0.986,0.9798792756539234
"[8, 2]",2,True,8,3,0.973,0.9720558882235529,0.9739478957915831,0.974,0.972,0.973026973026973
"[8, 2]",2,True,32,0,0.976,0.976,0.976,0.976,0.976,0.9760000000000001
"[8, 2]",2,True,32,1,0.973,0.9816700610997964,0.9646365422396856,0.964,0.982,0.9727547931382443
"[8, 2]",2,True,32,2,0.9685,0.9661691542288557,0.9708542713567839,0.971,0.966,0.9685785536159602
"[8, 2]",2,True,32,3,0.976,0.9808080808080808,0.9712871287128713,0.971,0.981,0.9758793969849245
"[8, 2]",2,False,2,0,0.5,,0.5,0.0,1.0,
"[8, 2]",2,False,2,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 2]",2,False,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 2]",2,False,2,3,0.5,,0.5,0.0,1.0,
"[8, 2]",2,False,8,0,0.65,0.6407129455909943,0.6605995717344754,0.683,0.617,0.6611810261374638
"[8, 2]",2,False,8,1,0.59,0.5680786686838124,0.6327433628318584,0.751,0.429,0.6468561584840654
"[8, 2]",2,False,8,2,0.636,0.5934065934065934,0.75,0.864,0.408,0.7035830618892508
"[8, 2]",2,False,8,3,0.7085,0.6921658986175115,0.7278688524590164,0.751,0.666,0.7203836930455635
"[8, 2]",2,False,32,0,0.7345,0.7274490785645005,0.7420020639834881,0.75,0.719,0.7385524372230428
"[8, 2]",2,False,32,1,0.681,0.6723809523809524,0.6905263157894737,0.706,0.656,0.6887804878048781
"[8, 2]",2,False,32,2,0.5995,0.5881310894596988,0.6142365097588978,0.664,0.535,0.623767026773133
"[8, 2]",2,False,32,3,0.532,0.526578073089701,0.5402010050251256,0.634,0.43,0.5753176043557169
"[8, 2]",4,True,2,0,0.971,0.9654150197628458,0.9767206477732794,0.977,0.965,0.9711729622266402
"[8, 2]",4,True,2,1,0.9775,0.9751243781094527,0.9798994974874372,0.98,0.975,0.9775561097256856
"[8, 2]",4,True,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 2]",4,True,2,3,0.9755,0.9703264094955489,0.980788675429727,0.981,0.97,0.9756340129288913
"[8, 2]",4,True,8,0,0.956,0.9514851485148514,0.9606060606060606,0.961,0.951,0.9562189054726365
"[8, 2]",4,True,8,1,0.9735,0.9758793969849247,0.9711442786069652,0.971,0.976,0.9734335839598998
"[8, 2]",4,True,8,2,0.9735,0.9807106598984772,0.9665024630541872,0.966,0.981,0.9732997481108311
"[8, 2]",4,True,8,3,0.9465,0.9560776302349336,0.9373163565132223,0.936,0.957,0.945932289034866
